timestamp;x (in G's);y (in G's);z (in G's)
1600601985.238500;-0.103149;-0.087662;-0.917755
1600601985.257909;-0.108765;-0.088425;-0.915909
1600601985.277348;-0.099548;-0.085129;-0.897369
1600601985.296757;-0.067154;-0.089615;-0.904480
1600601985.316196;-0.036987;-0.072617;-0.944504
1600601985.335607;-0.019806;-0.077438;-0.987564
1600601985.355016;-0.022125;-0.089340;-0.972626
1600601985.374454;-0.040680;-0.116730;-0.923599
1600601985.393865;-0.064407;-0.132217;-0.883286
1600601985.413304;-0.062042;-0.149185;-0.874146
1600601985.432713;-0.049896;-0.157883;-0.894699
1600601985.452152;-0.053909;-0.157684;-0.914856
1600601985.471561;-0.068512;-0.164322;-0.913116
1600601985.491002;-0.078232;-0.172287;-0.895416
1600601985.510411;-0.071304;-0.163345;-0.886505
1600601985.529819;-0.057861;-0.162659;-0.906296
1600601985.549260;-0.038452;-0.160889;-0.941315
1600601985.568669;-0.036652;-0.153320;-0.966095
1600601985.588109;-0.043594;-0.147141;-0.985184
1600601985.607517;-0.064270;-0.134949;-1.009811
1600601985.626958;-0.077393;-0.127899;-1.052231
1600601985.646367;-0.081528;-0.118622;-1.101105
1600601985.665807;-0.086731;-0.110611;-1.129013
1600601985.685215;-0.105789;-0.082642;-1.112015
1600601985.704625;-0.095078;-0.092590;-1.067215
1600601985.724065;-0.081360;-0.119461;-1.032822
1600601985.743474;-0.077118;-0.102356;-1.023575
1600601985.762882;-0.051086;-0.113022;-1.034973
1600601985.782323;-0.024719;-0.101196;-1.044754
1600601985.801732;-0.022705;-0.074051;-1.040863
1600601985.821141;-0.030090;-0.054031;-1.033127
1600601985.840580;-0.042343;-0.020432;-1.061020
1600601985.859990;-0.016479;0.004654;-1.111893
1600601985.879399;0.032028;-0.002884;-1.143845
1600601985.898839;0.017776;-0.000534;-1.123245
1600601985.918247;0.018600;-0.021851;-1.014114
1600601985.937657;0.000183;-0.047989;-0.898529
1600601985.957066;-0.008896;-0.056900;-0.841797
1600601985.976506;0.000214;-0.100327;-0.849854
1600601985.995914;0.009537;-0.108963;-0.878464
1600601986.015325;0.007523;-0.098709;-0.912140
1600601986.034764;-0.012711;-0.077606;-0.957169
1600601986.054173;-0.008041;-0.072495;-0.995422
1600601986.073583;0.013611;-0.067352;-1.024170
1600601986.092980;0.026413;-0.071823;-1.030716
1600601986.112389;0.017807;-0.080917;-1.004150
1600601986.131829;0.006424;-0.084122;-0.974716
1600601986.151238;0.012650;-0.109406;-0.942474
1600601986.170648;0.016296;-0.130173;-0.899704
1600601986.190087;0.009171;-0.141495;-0.865463
1600601986.209496;-0.009277;-0.135239;-0.858337
1600601986.228906;-0.007645;-0.157684;-0.877350
1600601986.248345;0.011963;-0.167252;-0.910980
1600601986.267754;0.003357;-0.162018;-0.933197
1600601986.287164;-0.010284;-0.171509;-0.938522
1600601986.306603;-0.018143;-0.178131;-0.937729
1600601986.326013;-0.027512;-0.190140;-0.940613
1600601986.345422;-0.028351;-0.197830;-0.943619
1600601986.364831;-0.029190;-0.204163;-0.945999
1600601986.384271;-0.039032;-0.194519;-0.955017
1600601986.403680;-0.036728;-0.187195;-0.962936
1600601986.423089;-0.019562;-0.178467;-0.970612
1600601986.442529;-0.006226;-0.148865;-0.988037
1600601986.461938;-0.009232;-0.135635;-1.026611
1600601986.481347;-0.003204;-0.133682;-1.050140
1600601986.500756;0.018173;-0.151337;-1.033646
1600601986.520196;0.016342;-0.141556;-0.999191
1600601986.539605;0.005554;-0.158279;-0.973923
1600601986.559014;-0.003784;-0.180328;-0.942856
1600601986.578454;-0.048996;-0.148483;-0.913040
1600601986.597863;-0.089508;-0.082840;-0.953964
1600601986.617272;-0.118622;-0.045319;-1.080688
1600601986.636712;-0.090576;-0.017212;-1.200836
1600601986.656121;-0.049591;-0.024948;-1.220779
1600601986.675530;-0.065857;-0.017792;-1.101135
1600601986.694970;-0.120422;-0.052460;-0.962585
1600601986.714379;-0.161591;-0.074478;-0.879425
1600601986.733788;-0.167145;-0.119644;-0.866135
1600601986.753228;-0.165649;-0.110458;-0.901733
1600601986.772637;-0.171875;-0.080582;-0.956421
1600601986.792046;-0.156540;-0.080963;-0.988144
1600601986.811456;-0.143417;-0.078918;-0.997757
1600601986.830895;-0.123611;-0.077164;-0.989899
1600601986.850305;-0.094299;-0.081299;-0.985672
1600601986.869714;-0.077026;-0.086761;-0.982285
1600601986.889153;-0.093323;-0.094986;-0.967911
1600601986.908563;-0.108994;-0.109955;-0.938889
1600601986.927972;-0.118179;-0.127014;-0.908295
1600601986.947381;-0.116440;-0.140854;-0.886139
1600601986.966821;-0.090546;-0.148026;-0.893997
1600601986.986230;-0.082794;-0.125519;-0.921356
1600601987.005639;-0.091492;-0.125183;-0.944107
1600601987.025079;-0.091690;-0.127090;-0.947159
1600601987.044488;-0.087326;-0.110641;-0.934174
1600601987.063897;-0.077759;-0.106598;-0.931305
1600601987.083306;-0.059601;-0.127686;-0.941818
1600601987.102728;-0.053009;-0.134964;-0.954865
1600601987.122137;-0.053131;-0.139786;-0.964142
1600601987.141546;-0.057449;-0.146011;-0.971115
1600601987.160986;-0.063446;-0.152100;-0.981323
1600601987.180395;-0.053421;-0.154129;-0.986053
1600601987.199804;-0.053162;-0.162766;-0.994827
1600601987.219214;-0.063156;-0.163132;-0.995804
1600601987.238653;-0.071671;-0.164719;-0.985947
1600601987.258062;-0.076248;-0.147018;-0.979919
1600601987.277472;-0.076187;-0.113220;-0.985977
1600601987.296911;-0.044083;-0.135971;-0.974136
1600601987.316320;-0.005508;-0.152267;-0.965485
1600601987.335730;0.009506;-0.160355;-0.960892
1600601987.355169;0.009384;-0.177170;-0.958847
1600601987.374579;-0.043152;-0.137024;-0.966385
1600601987.393988;-0.103210;-0.045105;-1.057449
1600601987.413397;-0.072220;-0.019135;-1.167999
1600601987.432837;0.014954;-0.014664;-1.235825
1600601987.452246;0.040298;-0.000244;-1.214905
1600601987.471655;0.020493;-0.028824;-1.122238
1600601987.491095;-0.033585;-0.053696;-1.009430
1600601987.510504;-0.078461;-0.048050;-0.950180
1600601987.529913;-0.072296;-0.049103;-0.963379
1600601987.549322;-0.035599;-0.051300;-1.010345
1600601987.568762;-0.014954;-0.045410;-1.043854
1600601987.588171;-0.017075;-0.056976;-1.019180
1600601987.607580;-0.026474;-0.065674;-0.972382
1600601987.626989;-0.008514;-0.087631;-0.951553
1600601987.646429;0.025192;-0.088989;-0.966660
1600601987.665838;0.024155;-0.080780;-1.003754
1600601987.685247;0.001022;-0.092133;-1.016525
1600601987.704687;-0.004135;-0.118134;-0.988281
1600601987.724096;-0.005295;-0.131012;-0.933624
1600601987.743506;0.009201;-0.151169;-0.879120
1600601987.762945;0.013062;-0.157822;-0.844849
1600601987.782354;0.005783;-0.154800;-0.845963
1600601987.801764;0.005615;-0.161331;-0.884262
1600601987.821173;0.011536;-0.166855;-0.916138
1600601987.840612;0.012314;-0.157547;-0.921494
1600601987.860022;0.012939;-0.169846;-0.915329
1600601987.879431;-0.001404;-0.185150;-0.917130
1600601987.898871;0.008362;-0.199402;-0.915405
1600601987.918280;0.029709;-0.195282;-0.927628
1600601987.937689;0.046417;-0.194107;-0.940826
1600601987.957129;0.066452;-0.195328;-0.950912
1600601987.976538;0.065628;-0.184372;-0.962860
1600601987.995947;0.072678;-0.184830;-0.987061
1600601988.015387;0.074280;-0.175751;-1.028046
1600601988.034796;0.072098;-0.148514;-1.067276
1600601988.054205;0.080399;-0.141418;-1.085632
1600601988.073614;0.087799;-0.149704;-1.073059
1600601988.093008;0.086014;-0.159973;-1.030380
1600601988.112417;0.065659;-0.129440;-0.989319
1600601988.131826;0.050705;-0.124496;-0.981140
1600601988.151235;0.066025;-0.147415;-0.992966
1600601988.170675;0.029160;-0.104568;-1.000900
1600601988.190084;-0.021774;-0.070938;-1.023499
1600601988.209493;-0.057327;-0.045090;-1.066895
1600601988.228933;-0.046814;-0.043625;-1.089111
1600601988.248342;-0.018646;-0.044037;-1.073441
1600601988.267752;-0.003510;-0.068970;-0.986465
1600601988.287161;-0.019531;-0.087616;-0.883682
1600601988.306600;-0.052963;-0.116989;-0.842224
1600601988.326010;-0.080322;-0.144379;-0.855652
1600601988.345419;-0.114624;-0.123917;-0.889954
1600601988.364858;-0.115173;-0.115204;-0.914413
1600601988.384268;-0.099228;-0.097275;-0.942001
1600601988.403677;-0.069839;-0.078568;-0.978943
1600601988.423116;-0.035568;-0.088715;-1.020599
1600601988.442526;-0.016861;-0.086075;-1.035446
1600601988.461935;-0.020599;-0.084778;-1.016022
1600601988.481375;-0.039780;-0.114655;-0.965851
1600601988.500784;-0.074829;-0.140259;-0.922623
1600601988.520193;-0.093018;-0.172394;-0.889267
1600601988.539602;-0.096436;-0.188782;-0.854431
1600601988.559042;-0.100830;-0.186279;-0.847488
1600601988.578451;-0.095123;-0.177521;-0.870148
1600601988.597860;-0.085938;-0.166214;-0.896317
1600601988.617300;-0.067825;-0.167770;-0.919586
1600601988.636709;-0.051880;-0.161560;-0.947479
1600601988.656118;-0.044525;-0.153793;-0.959885
1600601988.675527;-0.036835;-0.163116;-0.969101
1600601988.694967;-0.039764;-0.167236;-0.970367
1600601988.714376;-0.049408;-0.166275;-0.972412
1600601988.733785;-0.050827;-0.159012;-0.992264
1600601988.753225;-0.063354;-0.145218;-1.024567
1600601988.772634;-0.067947;-0.137222;-1.056091
1600601988.792043;-0.069595;-0.128983;-1.072800
1600601988.811483;-0.066162;-0.114075;-1.085693
1600601988.830892;-0.056747;-0.141159;-1.065155
1600601988.850302;-0.052170;-0.138748;-1.009109
1600601988.869741;-0.046814;-0.133133;-0.982285
1600601988.889150;-0.025421;-0.133026;-1.021027
1600601988.908560;-0.011917;-0.093613;-1.062363
1600601988.927999;-0.033905;-0.042572;-1.115433
1600601988.947408;-0.043427;-0.014603;-1.178177
1600601988.966818;-0.005417;0.001770;-1.206528
1600601988.986257;0.044037;0.002090;-1.179886
1600601989.005667;0.052200;-0.032349;-1.091049
1600601989.025076;0.014496;-0.034866;-1.000977
1600601989.044515;-0.009125;-0.064560;-0.934662
1600601989.063925;-0.013214;-0.070786;-0.918716
1600601989.083334;-0.018219;-0.106918;-0.921844
1600601989.102713;-0.020950;-0.118301;-0.911987
1600601989.122153;-0.025330;-0.114822;-0.897385
